Go.	Gå!
Call the police!	Ring til politiet!
Call the police!	Tilkald politiet!
Can I leave now?	Kan jeg gå nu?
Can you do that?	Kan du gøre det?
Can you find it?	Kan du finde det?
Can you open it?	Kan du åbne det?
Can you open it?	Kan du åbne den?
Clip your nails.	Klip dine negle.
Close that door.	Luk den dør!
Close your eyes.	Luk dine øjne.
Come home early.	Kom tidligt hjem.
Come if you can.	Kom hvis du kan.
Come talk to me.	Kom og tal med mig.
Congratulations!	Tillykke!
Congratulations!	Til lykke!
Congratulations!	Gratulerer!
Count to thirty.	Tæl til tredive.
Did Tom find it?	Fandt Tom det?
Did Tom find it?	Har Tom fundet det?
Did you get wet?	Blev du våd?
Did you miss me?	Har du savnet mig?
Did you miss me?	Savnede du mig?
Dig a deep hole.	Grav et dybt hul.
Dinner is ready.	Middagsmaden er klar.
Dinner is ready.	Aftensmaden er klar.
Do I look tired?	Ser jeg træt ud?
Do we have time?	Har vi tid?
Do you have one?	Har du én?
Do you have one?	Har du en?
Do you like Tom?	Kan du lide Tom?
Do you like tea?	Kan du lide te?
Do you love Tom?	Elsker du Tom?
Do you love Tom?	Elsker I Tom?
Do you remember?	Husker du?
Do you think so?	Synes du det?
Don't forget us.	Glem os ikke!
Don't get drunk.	Bliv ikke beruset!
Don't get drunk.	Drik dig ikke fuld!
Don't overdo it.	Overdriv ikke!
Don't overdo it.	Lad være at overdrive!
Don't stop here.	Stands ikke her.
Don't trust Tom.	Stol ikke på Tom.
Don't trust Tom.	Stol ikke på Tom!
Drink your milk.	Drik din mælk.
Get my tool box.	Hent min værktøjskasse.
Get off my lawn.	Forsvind fra min græsplæne!
Get out of here.	Forsvind herfra.
Get out of here.	Gå væk herfra.
Give it up, Tom.	Opgiv det, Tom.
Give them to me.	Giv mig dem!
God created man.	Gud skabte mennesket.
Good night, Tom.	Godnat, Tom!
Have a nice day.	Goddag.
He bought a car.	Han har købt en bil.
He came running.	Han kom løbende.
He did not come.	Han kom ikke.
He did not come.	Han er ikke kommet.
He had no money.	Han havde ingen penge.
He had no money.	Han havde ikke nogen penge.
He has two cats.	Han har to katte.
He has two dogs.	Han har to hunde.
He is a painter.	Han er maler.
He just arrived.	Han er lige kommet.
He likes Disney.	Han holder af Disney.
He looks strong.	Han ser stærk ud.
He loves soccer.	Han elsker fodbold.
He made her cry.	Han fik hende til at græde.
He seems honest.	Han synes at være ærlig.
He tires easily.	Han bliver let træt.
He writes books.	Han skriver bøger.
He's a gardener.	Han er gartner.
He's a tall boy.	Han er en høj dreng.
He's dead drunk.	Han er kanonfuld.
He's helping me.	Han hjælper mig.
He's her friend.	Han er hendes ven.
He's photogenic.	Han er fotogen.
He's right here.	Han er lige her.
Her father died.	Hendes far døde.
Here's your dog.	Her er din hund.
His name is Tom.	Hans navn er Tom.
How about 12:45?	Hvad med 12:45?
How big you are!	Så stor du er!
How legal is it?	Hvor lovligt er det?
How old are you?	Hvor gammel er du?
I abhor spiders.	Jeg afskyr edderkopper.
I abhor spiders.	Jeg afskyer edderkopper.
I abhor spiders.	Jeg kan ikke fordrage edderkopper.
I also did that.	Jeg gjorde også det.
I am dead tired.	Jeg er dødtræt.
I am from Egypt.	Jeg er fra Ægypten.
I am from Spain.	Jeg er fra Spanien.
I am not afraid.	Jeg er ikke bange.
I am not eating.	Jeg spiser ikke.
I am very tired.	Jeg er meget træt.
I ate an orange.	Jeg spiste en appelsin.
I ate the apple.	Jeg spiste æblet.
I bit my tongue.	Jeg bed mig i tungen.
I can't breathe.	Jeg kan ikke få luft.
I can't breathe.	Jeg kan ikke trække vejret!
I can't breathe.	Jeg kan ikke få luft!
I can't hear it.	Jeg kan ikke høre det.
I can't see you.	Jeg kan ikke se dig.
I couldn't talk.	Jeg kunne ikke tale.
I cycle to work.	Jeg cykler til arbejde.
I cycle to work.	Jeg tager cyklen til arbejde.
I fired the gun.	Jeg affyrede pistolen.
I go to Harvard.	Jeg går på Harvard.
I got sunburned.	Jeg blev solskoldet.
I hate shopping.	Jeg hader at gå på indkøb.
I have a guitar.	Jeg har en guitar.
I have a pencil.	Jeg har en blyant.
I have an apple.	Jeg har et æble.
I have bad news.	Jeg har en dårlig nyhed.
I have bad news.	Jeg har dårlige nyheder.
I have no money.	Jeg har ingen penge.
I have to sleep.	Jeg skal sove.
I have two cats.	Jeg har to katte.
I have two cats.	Jeg ejer to katte.
I haven't slept.	Jeg har ikke sovet.
I hope Tom wins.	Jeg håber Tom vinder.
I hope it rains.	Jeg håber det regner.
I just found it.	Jeg har lige fundet det.
I just found it.	Jeg har lige fundet den.
I just got home.	Jeg er lige kommet hjem.
I knew your dad.	Jeg kendte din far.
I know his name.	Jeg kender hans navn.
I know your son.	Jeg kender din søn.
I lay on my bed.	Jeg lå på min seng.
I like the cold.	Jeg kan godt lide kulden.
I like to drive.	Jeg kan godt lide at køre.
I like your cat.	Jeg kan godt lide din kat.
I look like Tom.	Jeg ligner Tom.
I look like Tom.	Jeg ser ud som Tom.
I lost my watch.	Jeg mistede mit ur.
I love hot dogs.	Jeg elsker hotdogs.
I love to sleep.	Jeg elsker at sove.
I love westerns.	Jeg elsker cowboyfilm.
I love westerns.	Jeg elsker western.
I love westerns.	Jeg elsker westerns.
I love you guys.	Jeg elsker jer.
I love you, too.	Jeg elsker også dig.
I made brownies.	Jeg har lavet brownies.
I made brownies.	Jeg har lavet brownier.
I need a doctor.	Jeg har brug for en læge.
I need a doctor.	Jeg har brug for en læge!
I need a hammer.	Jeg har brug for en hammer.
I need a pencil.	Jeg har brug for en blyant.
I never give up.	Jeg giver aldrig op.
I often see him.	Jeg ser ham ofte.
I paid for them.	Jeg betalte for dem.
I paid my taxes.	Jeg har betalt min skat.
I paid my taxes.	Jeg har betalt skat.
I play the oboe.	Jeg spiller på obo.
I prefer coffee.	Jeg foretrækker kaffe.
I put on my wig.	Jeg tager min paryk på.
I rang the bell.	Jeg ringede på klokken.
I read the book.	Jeg læser bogen.
I read the book.	Jeg læste bogen.
I recommend Tom.	Jeg anbefaler Tom.
I remember this.	Jeg husker det.
I run every day.	Jeg løber hver dag.
I said sit down.	Sæt dig, sagde jeg.
I see the queen.	Jeg ser dronningen.
I speak Swedish.	Jeg taler svensk.
I think so, too.	Det tror jeg også.
I walked my dog.	Jeg luftede min hund.
I want a guitar.	Jeg vil have en guitar.
I want a parrot.	Jeg vil have en papegøje.
I want an apple.	Jeg vil gerne have et æble.
I want an apple.	Jeg vil have et æble.
I want to learn.	Jeg ønsker at lære.
I want to sleep.	Jeg vil sove.
I was a teacher.	Jeg var lærer.
I was at school.	Jeg var i skole.
I was too small.	Jeg var for lille.
I went by train.	Jeg tog toget.
I went shopping.	Jeg tog på indkøb.
I wish you well.	Jeg ønsker dig held og lykke.
I wish you well.	Jeg ønsker dig alt godt.
I won't give up.	Jeg vil ikke give op.
I'll go ask Tom.	Jeg vil gå hen og spørge Tom.
I'll go by taxi.	Jeg vil tage en taxi.
I'm Tom's niece.	Jeg er Toms niece.
I'm a bit tipsy.	Jeg er en smule bedugget.
I'm a sophomore.	Jeg er andetårsstuderende.
I'm about ready.	Jeg er næsten færdig.
I'm always here.	Jeg er altid her.
I'm color-blind.	Jeg er farveblind.
I'm happy today.	Jeg er glad i dag.
I'm leaving now.	Jeg går nu.
I'm my own boss.	Jeg er min egen direktør.
I'm my own boss.	Jeg er min egen chef.
I'm not a child.	Jeg er ikke et barn.
I'm not a robot.	Jeg er ikke en robot.
I'm not sulking.	Jeg surmuler ikke.
I'm not thirsty.	Jeg er ikke tørstig.
I'm on the list.	Jeg er på listen.
I'm only joking.	Det var kun for sjov.
I'm unimpressed.	Jeg er uimponeret.
I'm very sleepy.	Jeg er meget søvnig.
I've been fired.	Jeg er blevet fyret.
I've got a book.	Jeg har en bog.
I've got a cold.	Jeg er forkølet.
Is Tom Canadian?	Er Tom canadisk?
Is anybody here?	Er der nogen her?
Is it dangerous?	Er det farligt?
Is it important?	Er det vigtigt?
Is it too salty?	Er det for salt?
Is it too salty?	Er den for salt?
Is it your bike?	Er det din cykel?
Is she a doctor?	Er hun en læge?
Is this a river?	Er det en flod?
Is this on sale?	Er den her på tilbud?
Is this on sale?	Er den her på udsalg?
Is your car new?	Er din bil ny?
It's OK with me.	Det er i orden med mig.
It's a nice day.	Det er en fin dag.
It's almost six.	Klokken er næsten seks.
It's cold today.	Det er koldt i dag!
It's cold today.	Det er koldt i dag.
It's cold today.	I dag er det koldt.
It's easy money.	Det er lette penge.
It's impossible.	Det er umuligt.
It's incredible!	Det er utroligt!
It's incredible.	Det er utroligt!
It's incredible.	Det er utroligt.
It's warm today.	Det er varmt i dag.
Keep the change!	Behold byttepengene!
Leave our house.	Forlad vores hus.
Let's be honest.	Lad os være ærlige.
Let's go by bus.	Lad os tage bussen.
Look at the cat.	Kig på katten.
Look at the sky.	Kig på himlen.
Maybe Tom knows.	Måske ved Tom det.
Maybe it's true.	Det er muligvis sandt.
Meet me at 2:30.	Mød mig klokken halv tre.
Meet me tonight.	Mød mig i nat.
Merry Christmas!	Glædelig jul!
Merry Christmas!	God jul!
My dog ran away.	Min hund løb væk.
My throat hurts.	Jeg har ondt i halsen.
Nature is cruel.	Naturen er grusom.
Never forget it.	Glem det aldrig!
Never let me go.	Lad mig aldrig gå.
Nobody got hurt.	Ingen blev såret.
Open the bottle.	Åbn flasken.
Open the bottle.	Knap flasken op.
Open your books.	Åbn jeres bøger.
Open your mouth.	Åbn munden.
Please call him.	Vær venlig at ringe til ham.
Prices are high.	Priserne er høje.
Raise your hand.	Ræk hånden op.
She is Canadian.	Hun er canadisk.
She is a doctor.	Hun er læge.
She lost a book.	Hun har mistet en bog.
She lost a book.	Hun mistede en bog.
She slapped him.	Hun gav ham en ørefigen.
She slapped him.	Hun gav ham en lussing.
She talks a lot.	Hun taler meget.
She works a lot.	Hun arbejder meget.
She's beautiful.	Hun er smuk.
She's no singer.	Hun er ingen sanger.
She's seventeen.	Hun er sytten.
Shut your mouth.	Hold mund!
So far, so good.	Så vidt, så godt.
Somebody called.	Nogen ringede.
Spring has come.	Foråret er kommet.
Spring has come.	Våren er kommet.
Steal the money.	Stjæl pengene.
Take no chances.	Tag ingen chancer.
Tell me a story.	Fortæl mig en historie!
That car is his.	Den bil er hans.
That dog jumped.	Den hund sprang.
That looks good.	Det ser godt ud.
That sounds fun.	Det lyder sjovt.
That was enough.	Det var nok.
That's a church.	Det er en kirke.
That's bad news.	Det er dårlige nyheder.
That's my money.	Det er mine penge.
That's the snag.	Der ligger hunden begravet!
That's too late.	Det er for sent.
That's too much!	Det er for meget!
That's too much.	Det er for meget!
The answer's no.	Svaret er nej.
The bike's mine.	Cyklen er min.
The car is blue.	Bilen er blå.
The car started.	Bilen startede.
The car stopped.	Bilen standsede.
The cat woke up.	Katten vågnede op.
The cat woke up.	Katten vågnede.
The dog growled.	Hunden knurrede.
The dog is dead.	Hunden er død.
The dog is mine.	Hunden er min.
The leaves fell.	Bladene faldt.
The man blushed.	Manden rødmede.
The sea is blue.	Havet er blåt.
The soldier ran.	Soldaten løb.
The sun has set.	Solen er gået ned.
The team waited.	Holdet ventede.
The truth hurts.	Sandheden gør ondt.
There's a table.	Der er et bord.
There's our bus.	Der er vores bus.
There's our bus.	Der kommer vores bus!
There's the rub.	Der ligger hunden begravet!
These are Tom's.	Disse er Toms.
These are Tom's.	De her er Toms.
They are actors.	De er skuespillere.
They don't care.	De er ligeglade.
They feared you.	De frygtede dig.
They live there.	De bor der.
They sell candy.	De sælger slik.
They understood.	De forstod.
They understood.	De har forstået.
They're dancing.	De danser.
They're friends.	De er venner.
They're kissing.	De kysser hinanden.
They're talking.	De snakker.
They've changed.	De har forandret sig.
This is a spoon.	Dette er en ske.
This is a spoon.	Det her er en ske.
This is illegal.	Dette er illegalt.
This is illegal.	Dette er ulovligt.
This is my seat.	Dette er min plads.
This is unusual.	Dette er usædvanligt.
To err is human.	Det er menneskeligt at fejle.
Today is Monday.	I dag er det mandag.
Tom baked bread.	Tom har bagt brød.
Tom baked bread.	Tom bagte brød.
Tom came closer.	Tom kom nærmere.
Tom can't drive.	Tom kan ikke køre bil.
Tom checked out.	Tom tjekkede ud.
Tom cries a lot.	Tom græder meget.
Tom cut himself.	Tom skar sig.
Tom cut himself.	Tom har skåret sig.
Tom drinks milk.	Tom drikker mælk.
Tom got married.	Tom blev gift.
Tom had to stop.	Tom var nødt til at stoppe.
Tom has a cough.	Tom har hoste.
Tom has a house.	Tom har et hus.
Tom is Canadian.	Tom er canadisk.
Tom is a Muslim.	Tom er en muslim.
Tom is a Muslim.	Tom er en muhamedaner.
Tom is a Muslim.	Tom er en muselmand.
Tom is a Muslim.	Tom er muslim.
Tom is a doctor.	Tom er læge.
Tom is a hippie.	Tom er en hippie.
Tom is a misfit.	Tom er en outsider.
Tom is a priest.	Tom er præst.
Tom is an adult.	Tom er voksen.
Tom is at lunch.	Tom er til frokost.
Tom is barefoot.	Tom er barfodet.
Tom is bluffing.	Tom bluffer.
Tom is busy now.	Tom har travlt nu.
Tom is coughing.	Tom hoster.
Tom is discreet.	Tom går stille med dørene.
Tom is divorced.	Tom er skilt.
Tom is dyslexic.	Tom er ordblind.
Tom is dyslexic.	Tom er dyslektisk.
Tom is generous.	Tom er generøs.
Tom is groaning.	Tom stønner.
Tom is not dumb.	Tom er ikke dum.
Tom is not here.	Tom er ikke her.
Tom is out cold.	Tom er bevidstløs.
Tom is sleeping.	Tom sover.
Tom is studying.	Tom studerer.
Tom is swimming.	Tom svømmer.
Tom is the best.	Tom er den bedste.
Tom is very old.	Tom er meget gammel.
Tom isn't a CPA.	Tom er ikke statsautoriseret revisor.
Tom isn't fussy.	Tom er ikke kræsen.
Tom isn't petty.	Tom er ikke smålig.
Tom just called.	Tom har lige haft ringet.
Tom just called.	Tom har lige ringet.
Tom killed Mary.	Tom dræbte Mary.
Tom killed Mary.	Tom har dræbt Mary.
Tom kissed Mary.	Tom kyssede Mary.
Tom kissed Mary.	Tom har kysset Mary.
Tom lit a match.	Tom tændte en tændstik.
Tom looks tired.	Tom ser træt ud.
Tom loves books.	Tom elsker bøger.
Tom missed Mary.	Tom savnede Mary.
Tom seems tired.	Tom ser træt ud.
Tom texted Mary.	Tom sms'ede til Mary.
Tom texted Mary.	Tom SMS'ede til Mary.
Tom told a joke.	Tom fortalte en vittighed.
Tom was curious.	Tom var nysgerrig.
Tom was outside.	Tom var udenfor.
Tom was present.	Tom var til stede.
Tom was smoking.	Tom røg.
Tom was talking.	Tom talte.
Tom was tasered.	Tom blev skudt med strømpistol.
Tom was thirsty.	Tom var tørstig.
Tom was waiting.	Tom ventede.
Tom was waiting.	Tom sad og ventede.
Tom wears a wig.	Tom går med paryk.
Tom went hiking.	Tom tog på vandretur.
Tom will suffer.	Tom vil lide.
Tom will suffer.	Tom kommer til at lide.
Tom's boat sank.	Toms båd sank.
Tom's dangerous.	Tom er farlig.
Tom's my cousin.	Tom er min fætter.
Tom's my friend.	Tom er min ven.
Tom's panicking.	Tom går i panik.
Tom's panicking.	Tom bliver grebet af panik.
Unlock the door.	Lås døren op.
Wait one second.	Vent et øjeblik.
Walls have ears.	Vægge har ører.
Walls have ears.	Væggene har ører.
Wash the spoons.	Vask skeerne.
Wash your hands.	Vask dine hænder.
We arrested Tom.	Vi arresterede Tom.
We don't forget.	Vi glemmer ikke.
We eat raw fish.	Vi spiser rå fisk.
We have a bunny.	Vi har en kanin.
We have to move.	Vi er nødt til at flytte.
We met a writer.	Vi mødte en forfatter.
We must find it.	Vi må finde den.
We must find it.	Vi må finde det.
We study French.	Vi studerer fransk.
We took showers.	Vi tog brusebad.
We want to vote.	Vi vil stemme.
We want to vote.	Vi ønsker at stemme.
We went too far.	Vi er gået for langt.
We went too far.	Vi gik for langt.
We were waiting.	Vi ventede.
We'll chance it.	Vi vil tage chancen.
We're Canadians.	Vi er canadiere.
We're expecting.	Vi venter barn.
We're gardeners.	Vi er gartnere.
We're in Boston.	Vi er i Boston.
We're safe here.	Her er vi i sikkerhed.
Were they lying?	Løj de?
What a huge dog!	Sikke en kæmpestor hund!
What a huge dog!	Sikken en kæmpestor hund!
What a long day!	Sikke en lang dag!
What a long day!	Sikken lang dag!
What a surprise!	Hvilken overraskelse!
What did he say?	Hvad sagde han?
What time is it?	Hvad er klokken?
What was stolen?	Hvad blev der stjålet?
What went wrong?	Hvad gik galt?
What went wrong?	Hvad er gået galt?
What's going on?	Hvad sker der?
What's going on?	Hvad foregår der?
What's happened?	Hvad er der sket?
What's the time?	Hvad er klokken?
What've you got?	Hvad har I?
Where is my car?	Hvor er min bil?
Where's Tom now?	Hvor er Tom nu?
Which is better?	Hvilken er bedst?
Which is better?	Hvilken en af de to er bedst?
Who betrayed us?	Hvem har forrådt os?
Who do you love?	Hvem elsker du?
Who is that boy?	Hvem er den dreng?
Who is that man?	Hvem er den mand?
Who is that man?	Hvem er den der mand?
Why did you cry?	Hvorfor græd du?
Why do you work?	Hvorfor arbejder du?
Why do you work?	Hvorfor arbejder I?
You are naughty.	Du er uartig.
You can come in.	Du kan godt komme ind.
You deserved it.	Du fortjente det.
You got cheated.	Du blev snydt.
You have cancer.	Du har kræft.
You look strong.	Du ser stærk ud.
You look stupid.	Du ser dum ud.
You must go now.	Du skal gå nu.
You never smile.	Du smiler aldrig.
You should come.	Du burde komme.
You sound tired.	Du lyder træt.
You startled me!	Du gjorde mig forskrækket!
You startled me.	Du gjorde mig forskrækket!
You startled me.	Du skræmte mig!
You'll be tired.	Du bliver træt.
You'll thank me.	Du vil takke mig.
You're a coward.	Du er en kryster.
You're a coward.	Du er en kujon.
You're a coward.	Du er en bangebuks.
You're a genius.	Du er et geni!
You're a genius.	Du er et geni.
You're a menace.	Du er en plage.
You're a menace.	Du er en plageånd.
You're an idiot.	Du er en idiot.
You're impolite.	Du er uhøflig.
You're my child.	Du er mit barn.
You're not poor.	Du er ikke fattig.
A bird has wings.	En fugl har vinger.
A cab is waiting.	En taxa står og venter.
A cab is waiting.	Der står en taxa og venter.
A girl phoned me.	En pige ringede til mig.
Air is invisible.	Luft er usynlig.
Am I not invited?	Er jeg ikke inviteret?
Anyone can do it.	Alle kan gøre det.
Are we in danger?	Er vi i fare?
Are we safe here?	Er vi i sikkerhed her?
Are you Canadian?	Er du canadisk?
Are you a doctor?	Er du læge?
Are you a golfer?	Spiller du golf?
Are you a nudist?	Er du nudist?
Are you a smoker?	Er du ryger?
Are you all deaf?	Er I alle døve?
Are you dyslexic?	Er du ordblind?
Are you freezing?	Fryser du?
Are you new here?	Er du ny her?
Are you on drugs?	Er du på stoffer?
Are you pregnant?	Er du gravid?
Aren't I invited?	Er jeg ikke inviteret?
Atlantis is real.	Atlantis er virkelig.
Birds have wings.	Fugle har vinger.
Brush your teeth.	Børst dine tænder.
Call this number.	Ring til dette nummer.
Can I be of help?	Kan jeg være til hjælp?
Can I sleep here?	Kan jeg sove her?
Can rabbits swim?	Kan kaniner svømme?
Can we wait here?	Kan vi vente her?
Can you run fast?	Kan du løbe hurtigt?
Can you stop Tom?	Kan du stoppe Tom?
Cherries are red.	Kirsebær er røde.
Close the window.	Luk vinduet.
Close your books.	Luk jeres bøger.
Come on, you two.	Kom nu, I to!
Come on, you two.	Kom så, I to!
Continue digging.	Fortsæt med at grave.
Cookie is my dog.	Cookie er min hund.
Did you vote yet?	Har du stemt?
Did you vote yet?	Har du fået afgivet din stemme?
Do cats daydream?	Dagdrømmer katte?
Do you feel sick?	Har du det ikke godt?
Do you feel sick?	Føler du dig dårlig?
Do you feel sick?	Føler du dig utilpas?
Do you feel sick?	Har du kvalme?
Do you feel sick?	Har du det dårligt?
Do you have kids?	Har du børn?
Do you have rice?	Har du ris?
Do you like golf?	Kan du lide golf?
Do you live here?	Bor du her?
Do you play golf?	Spiller du golf?
Do you trust her?	Stoler du på hende?
Do you want fish?	Vil du have fisk?
Do you want help?	Ønsker du hjælp?
Do you want help?	Ønsker I hjælp?
Do you want kids?	Vil du have børn?
Do you want this?	Vil du have denne her?
Do you want this?	Vil du have den her?
Don't exaggerate.	Overdriv ikke!
Don't lie to Tom.	Lyv ikke for Tom.
Don't look at me.	Lad være med at kigge på mig.
Don't mention it.	Ingen årsag!
Don't mention it.	Ingen årsag.
Don't tempt fate.	Udfordr ikke skæbnen!
Drink more water.	Drik mere vand.
Enough is enough.	Nok er nok!
Everything is OK.	Alt er fint.
Everything is OK.	Alt er o.k.
Everything is OK.	Alt er godt.
Finish your work.	Færdiggør dit arbejde.
Finish your work.	Gør dit arbejde færdig.
Gas is cheap now.	Benzin er billig nu.
Get to the point.	Kom til sagen!
Get used to that.	Væn dig til det.
Give me a hammer.	Giv mig en hammer.
Give me an apple.	Giv mig et æble.
Give me my sword.	Giv mig mit sværd.
Give me that one.	Giv mig den der.
Give me your gun.	Giv mig din pistol.
Hang on a second.	Vent et øjeblik.
Has Tom returned?	Er Tom vendt tilbage?
Hate breeds hate.	Had avler had!
Have a nice trip!	God rejse!
Have a nice trip.	Hav en god tur.
Have a nice trip.	Du må have en god tur.
Have a nice trip.	God tur!
He deserves more.	Han fortjener mere.
He does not know.	Han ved det ikke.
He doesn't smoke.	Han ryger ikke.
He fed the horse.	Han fodrede hesten.
He gave it to me.	Han gav mig det.
He gave it to me.	Han gav mig den.
He gave it to me.	Han gav det til mig.
He gave it to me.	Han gav den til mig.
He had few teeth.	Han havde få tænder.
He has blue eyes.	Han har blå øjne.
He hates carrots.	Han hader gulerødder.
He hates carrots.	Han afskyr gulerødder.
He hates spiders.	Han hader edderkopper.
He hung up on me.	Han afbrød samtalen.
He is a tall boy.	Han er en høj dreng.
He is dead drunk.	Han er døddrukken.
He is dead drunk.	Han er kanonfuld.
He is doing well.	Det går ham godt.
He is doing well.	Han klarer sig godt.
He is her friend.	Han er hendes ven.
He is in trouble.	Han har problemer.
He is my teacher.	Han er min lærer.
He is photogenic.	Han er fotogen.
He loves to fish.	Han elsker at fiske.
He moves quickly.	Han flytter sig hurtigt.
He must love you.	Han må elske dig.
He ran into debt.	Han kom i gæld.
He speaks Arabic.	Han taler arabisk.
He used his head.	Han brugte sit hoved.
He used to drink.	Han plejede at drikke.
He used to drink.	Han drak tidligere.
He was acquitted.	Han blev frikendt.
He was in France.	Han var i Frankrig.
He was my friend.	Han var min ven.
He was very poor.	Han var meget fattig.
He wears glasses.	Han bærer briller.
He's a biologist.	Han er biolog.
He's a bit tipsy.	Han er en smule bedugget.
He's a good liar.	Han er en god løgner.
He's a sophomore.	Han er andetårsstuderende.
He's a sweet guy.	Han er en sød fyr.
He's intelligent.	Han er intelligent.
He's over thirty.	Han er over tredive.
He's unconscious.	Han er bevidstløs.
He's very lonely.	Han er meget ensom.
Her bike is blue.	Hendes cykel er blå.
Her hair is long.	Hendes hår er langt.
Here is your dog.	Her er din hund.
Here's my wallet.	Her er min tegnebog.
Here's your desk.	Her er dit skrivebord.
His name was Tom.	Hans navn var Tom.
Hold your horses.	Stop en halv!
How are you, Tom?	Hvordan har du der, Tom?
How are you, Tom?	Hvordan går det, Tom?
How good are you?	Hvor god er du?
I agree with Tom.	Jeg er enig med Tom.
I agree with you.	Jeg er enig.
I almost drowned.	Jeg druknede næsten.
I also like cake.	Jeg kan også lide kage.
I am against war.	Jeg er imod krig.
I am from France.	Jeg er fra Frankrig.
I am not curious.	Jeg er ikke nysgerrig.
I am not thirsty.	Jeg er ikke tørstig.
I am only joking.	Det var kun for sjov.
I am paid weekly.	Jeg er ugelønnet.
I began to dance.	Jeg begyndte at danse.
I believe in you.	Jeg tror på dig.
I can hardly see.	Jeg kan næsten ikke se.
I can't help you.	Jeg kan ikke hjælpe dig.
I can't help you.	Jeg kan ikke hjælpe Dem.
I can't help you.	Jeg kan ikke hjælpe jer.
I can't prove it.	Jeg kan ikke bevise det.
I could kiss you.	Jeg kunne kysse dig.
I could kiss you.	Jeg kunne kysse Dem.
I couldn't stand.	Jeg kunne ikke stå.
I didn't give up.	Jeg gav ikke op.
I didn't like it.	Jeg kunne ikke lide det.
I didn't mean it.	Jeg mente det ikke.
I do believe you.	Jeg tror på dig.
I don't know yet.	Det ved jeg endnu ikke.
I drink a little.	Jeg drikker en smule.
I drink to relax.	Jeg drikker for at slappe af.
I drive a hybrid.	Jeg kører i en hybridbil.
I feel so lonely.	Jeg føler mig så ensom.
I got her a doll.	Jeg købte en dukke til hende.
I hate Halloween.	Jeg hader halloween.
I hate computers.	Jeg hader computere.
I hate surprises.	Jeg hader overraskelser.
I have Tom's key.	Jeg har Toms nøgle.
I have a big dog.	Jeg har en stor hund.
I have a scooter.	Jeg har en scooter.
I have a trailer.	Jeg har en trailer.
I have been busy.	Jeg har haft travlt.
I have blue eyes.	Jeg har blå øjne.
I have few books.	Jeg har få bøger.
I have four aces.	Jeg har fire esser.
I have hay fever.	Jeg har høfeber.
I have no future.	Jeg har ingen fremtid.
I have two books.	Jeg har to bøger.
I hear something.	Jeg kan høre noget.
I hope I succeed.	Jeg håber, at jeg lykkes.
I hope I'm wrong.	Jeg håber jeg tager fejl.
I hope Tom comes.	Jeg håber Tom kommer.
I know it's hard.	Jeg ved at det er svært.
I like chocolate.	Jeg kan godt lide chokolade.
I like her novel.	Jeg synes om hendes roman.
I like ice cream.	Jeg kan godt lide is.
I like pop music.	Jeg kan lide popmusik.
I like pop music.	Jeg holder af popmusik.
I like that flag.	Jeg kan lide det flag.
I like the beach.	Jeg kan godt lide stranden.
I like to travel.	Jeg kan lide at rejse.
I like traveling.	Jeg kan lide at rejse.
I like traveling.	Jeg holder af at rejse.
I like your hair.	Jeg kan lide dit hår.
I like your idea.	Jeg kan lide din ide.
I like your plan.	Jeg kan lide din plan.
I live by myself.	Jeg bor alene.
I live in Boston.	Jeg bor i Boston.
I live on my own.	Jeg bor alene.
I lost my temper.	Jeg mistede besindelsen.
I love Christmas.	Jeg elsker jul.
I love astronomy.	Jeg elsker astronomi.
I love dinosaurs.	Jeg elsker dinosaurer.
I love dinosaurs.	Jeg elsker dinosaurusser.
I love egg yolks.	Jeg elsker æggeblommer.
I love hedgehogs.	Jeg elsker pindsvin.
I love my mother.	Jeg elsker min mor.
I love this town.	Jeg elsker denne by.
I love to travel.	Jeg elsker at rejse.
I milked the cow.	Jeg malkede koen.
I missed the bus.	Jeg nåede ikke bussen.
I need first aid.	Jeg har brug for førstehjælp.
I need new tires.	Jeg har brug for nye dæk.
I need some cash.	Jeg har brug for nogle kontanter.
I need the money.	Jeg har brug for pengene.
I never said yes.	Jeg sagde aldrig ja.
I ran out of ink.	Jeg løb tør for blæk.
I really mean it.	Jeg mener det alvorligt.
I sat beside her.	Jeg sad ved siden af hende.
I saw everything.	Jeg så alt.
I sell computers.	Jeg sælger computere.
I shot the horse.	Jeg skød hesten.
I should do that.	Det burde jeg gøre.
I still hate you.	Jeg hader dig stadigvæk.
I still love you.	Jeg elsker dig stadigvæk.
I swim every day.	Jeg svømmer hver dag.
I walk to school.	Jeg går til skolen til fods.
I walk to school.	Jeg går til skolen på gåben.
I want an answer.	Jeg vil have et svar.
I want an answer.	Jeg ønsker et svar.
I want ice cream.	Jeg vil have is.
I want to retire.	Jeg ønsker at gå på pension.
I want you to go.	Jeg vil gerne have at du går.
I was dumbstruck.	Jeg var målløs.
I was humiliated.	Jeg blev ydmyget.
I was humiliated.	Jeg var ydmyget.
I was mad at Tom.	Jeg var vred på Tom.
I was speechless.	Jeg var målløs.
I was very happy.	Jeg var meget glad.
I was very tired.	Jeg var meget træt.
I went to school.	Jeg gik i skole.
I went to school.	Jeg tog i skole.
I will try again.	Jeg vil prøve igen.
I will try again.	Jeg forsøger igen.
I would complain.	Jeg ville klage.
I wrote a letter.	Jeg skrev et brev.
I'd better leave.	Jeg må hellere tage afsted.
